,x,y,z
365,-28.59375,12.7856,96.98085
366,-28.59375,12.7856,96.92595
367,-28.59375,12.7856,96.95644999999999
368,-28.59375,12.7856,96.97779999999999
369,-28.59375,12.7856,96.8985
370,-28.59375,12.7856,96.95644999999999
371,-28.59375,12.7856,96.92290000000001
372,-28.59375,12.7856,97.0266
373,-28.59375,12.7856,96.9473
374,-28.59375,12.7856,97.02964999999999
375,-28.59375,12.7856,96.90154999999999
376,-28.59375,12.7856,96.93815
377,-28.59375,12.7856,96.8985
378,-28.59375,12.7856,96.95035
379,-28.59375,12.7856,96.93815
380,-28.59375,12.7856,96.929
381,-28.59375,12.7856,96.97475
382,-28.59375,12.7856,96.94120000000001
383,-28.59375,12.7856,96.93205
384,-28.59375,12.7856,96.96865
385,-28.59375,12.7856,96.96865
386,-28.59375,12.7856,97.0571
387,-28.59375,12.7856,97.0144
388,-28.59375,12.7856,97.03269999999999
389,-28.59375,12.7856,96.96865
390,-28.59375,12.7856,96.99305
391,-28.59375,12.7856,96.96255000000001
392,-28.59375,12.7856,96.96865
393,-28.59375,12.7856,96.9595
394,-28.59375,12.7856,96.94120000000001
395,-28.59375,12.7856,96.94120000000001
396,-28.59375,12.7856,96.9717
397,-28.59375,12.7856,96.92290000000001
398,-28.59375,12.7856,96.93815
399,-28.59375,12.7856,96.92595
400,-28.59375,12.7856,96.91985
401,-28.59375,12.7856,96.93205
402,-28.59375,12.7856,96.95644999999999
403,-28.59375,12.7856,96.9595
404,-28.59375,12.7856,96.93509999999999
405,-28.59375,12.7856,96.95035
406,-28.59375,12.7856,96.93205
407,-28.59375,12.7856,96.94425000000001
408,-28.59375,12.7856,96.9534
409,-28.59375,12.7856,96.95644999999999
410,-28.59375,12.7856,96.95035
411,-28.59375,12.7856,96.95035
412,-28.59375,12.7856,96.9595
413,-28.59375,12.7856,96.94120000000001
414,-28.59375,12.7856,96.96865
415,-28.59375,12.7856,96.94120000000001
416,-28.59375,12.7856,96.98085
417,-28.59375,12.7856,96.9595
418,-28.59375,12.7856,96.95644999999999
419,-28.59375,12.7856,96.97779999999999
420,-28.59375,12.7856,96.98085
421,-28.59375,12.7856,97.0144
422,-28.59375,12.7856,97.0205
423,-28.59375,12.7856,96.98695000000001
424,-28.59375,12.7856,97.03269999999999
425,-28.59375,12.7856,96.97475
426,-28.59375,12.7856,96.9595
427,-28.59375,12.7856,96.97779999999999
428,-28.59375,12.7856,96.9595
429,-28.59375,12.7856,96.95644999999999
430,-28.59375,12.7856,96.9473
431,-28.59375,12.7856,96.9046
432,-28.59375,12.7856,96.8985
433,-28.59375,12.7856,96.91375
434,-28.59375,12.7856,96.89545
435,-28.59375,12.7856,96.8863
436,-28.59375,12.7856,96.8497
437,-28.59375,12.7856,96.84055
438,-28.59375,12.7856,96.86800000000001
439,-28.59375,12.7856,96.82225
440,-28.59375,12.7856,97.0083
441,-28.59375,12.7856,96.88325
442,-28.59375,12.7856,96.9534
443,-28.59375,12.7856,96.92290000000001
444,-28.59375,12.7856,96.94120000000001
445,-28.59375,12.7856,96.9595
446,-28.59375,12.7856,96.91985
447,-28.59375,12.7856,96.9046
448,-28.59375,12.7856,97.0754
449,-28.59375,12.7856,97.06625
450,-28.59375,12.7856,96.9717
451,-28.59375,12.7856,96.98695000000001
452,-28.59375,12.7856,96.9473
453,-28.59375,12.7856,96.96255000000001
454,-28.59375,12.7856,96.94425000000001
455,-28.59375,12.7856,96.91985
456,-28.59375,12.7856,96.94425000000001
457,-28.59375,12.7856,96.91985
458,-28.59375,12.7856,96.91985
459,-28.59375,12.7856,96.88935000000001
460,-28.59375,12.7856,96.94425000000001
461,-28.59375,12.7856,96.93509999999999
462,-28.59375,12.7856,96.8985
463,-28.59375,12.7856,96.94425000000001
464,-28.59375,12.7856,96.90765
465,-28.59375,12.7856,96.9046
466,-28.59375,12.7856,96.9168
467,-28.59375,12.7856,96.94120000000001
468,-28.59375,12.7856,96.9473
469,-28.59375,12.7856,96.9839
470,-28.59375,12.7856,96.98695000000001
471,-28.59375,12.7856,96.90765
472,-28.59375,12.7856,96.97779999999999
473,-28.59375,12.7856,96.96560000000001
474,-28.59375,12.7856,96.99305
475,-28.59375,12.7856,96.9473
476,-28.59375,12.7856,96.95035
477,-28.59375,12.7856,96.95035
478,-28.59375,12.7856,96.92290000000001
479,-28.59375,12.7856,96.95644999999999
480,-28.59375,12.7856,96.93815
481,-28.59375,12.7856,96.929
482,-28.59375,12.7856,96.95035
483,-28.59375,12.7856,96.8985
484,-28.59375,12.7856,96.92595
485,-28.59375,12.7856,96.91985
486,-28.59375,12.7856,96.94120000000001
487,-28.59375,12.7856,96.92290000000001
488,-28.59375,12.7856,96.9168
489,-28.59375,12.7856,96.93509999999999
490,-28.59375,12.7856,96.90765
491,-28.59375,12.7856,96.94425000000001
492,-28.59375,12.7856,96.92290000000001
493,-28.59375,12.7856,96.94425000000001
494,-28.59375,12.7856,96.9473
495,-28.59375,12.7856,96.9473
496,-28.59375,12.7856,96.9473
497,-28.59375,12.7856,96.97779999999999
498,-28.59375,12.7856,96.95644999999999
499,-28.59375,12.7856,96.95644999999999
500,-28.59375,12.7856,96.96560000000001
501,-28.59375,12.7856,97.20349999999999
502,-28.59375,12.7856,97.15775000000001
503,-28.59375,12.7856,96.95035
504,-28.59375,12.7856,96.82225
505,-28.59375,12.7856,96.93509999999999
506,-28.59375,12.7856,96.9534
507,-28.59375,12.7856,96.88935000000001
508,-28.59375,12.7856,96.89545
509,-28.59375,12.7856,96.86189999999999
510,-28.59375,12.7856,96.8985
511,-28.59375,12.7856,96.8497
512,-28.59375,12.7856,96.84055
513,-28.59375,12.7856,96.83749999999999
514,-28.59375,12.7856,96.85275
515,-28.59375,12.7856,96.7765
516,-28.59375,12.7856,96.76735
517,-28.59375,12.7856,96.83749999999999
518,-28.59375,12.7856,96.8558
519,-28.59375,12.7856,96.81615
520,-28.59375,12.7856,96.84055
521,-28.59375,12.7856,96.84665000000001
522,-28.59375,12.7856,96.84665000000001
523,-28.59375,12.7856,96.90154999999999
524,-28.59375,12.7856,96.8924
525,-28.59375,12.7856,96.91375
526,-28.59375,12.7856,96.93509999999999
527,-28.59375,12.7856,96.89545
528,-28.59375,12.7856,96.96560000000001
